Date,Open,High,Low,Close,Adj Close,Volume
2000-01-28,107.791588,109.165871,105.222275,106.656311,61.606583,6976192
2000-01-31,106.477058,107.851341,104.804016,107.313576,61.986202,6488024
2000-02-01,107.433075,108.448853,104.326004,105.162521,60.743740,7640716
2000-02-02,107.074570,110.719406,105.521034,108.508606,62.676483,8062254
2000-02-03,109.942642,112.332695,109.046364,111.974190,64.678276,6499635
2000-02-04,112.989960,113.228966,109.763382,110.540154,63.849941,5653944
2000-02-07,110.898659,111.735184,108.150093,109.106117,63.021637,6045357
2000-02-08,111.794930,113.766731,111.077919,113.587479,65.679176,5715658
2000-02-09,113.766731,114.483749,111.854683,112.213196,64.884552,5621936
2000-02-10,112.511948,113.886230,111.735184,113.886230,65.851959,4651144
2000-02-11,113.826485,114.184990,109.524376,110.301147,63.778961,6013872
2000-02-14,110.898659,111.257172,109.464630,110.958412,64.159004,4753024
2000-02-15,110.779160,112.272942,108.867111,111.974190,64.746353,5415665
2000-02-16,111.376671,112.153442,110.181641,110.659653,63.986267,4149377
2000-02-17,111.376671,113.647224,110.659653,111.615677,64.539063,5478425
2000-02-18,110.181641,110.838913,106.596558,107.552582,62.189682,8026376
2000-02-22,107.074570,108.448853,103.967499,106.118546,61.360470,8006921
2000-02-23,105.640533,105.640533,103.728493,103.967499,60.116688,7777324
2000-02-24,104.027245,106.118546,103.429733,105.640533,61.084080,9531152
2000-02-25,105.043022,105.043022,100.322655,103.250481,59.702099,10786561
2000-02-28,100.023903,101.816444,99.366638,99.904396,57.767292,8869975
2000-02-29,100.920174,100.920174,96.498566,98.231361,56.799877,10967205
2000-03-01,97.514343,100.860420,95.662048,95.841301,55.417900,11304959
2000-03-02,96.080307,100.800667,95.124283,98.589867,57.007210,11707773
2000-03-03,102.533463,105.162521,101.398186,103.250481,59.702099,10630289
2000-03-06,105.102776,106.118546,96.558319,98.530113,56.972656,11241780
2000-03-07,101.338432,102.294456,97.215584,98.470360,56.938080,10496715
2000-03-08,98.470360,102.174950,98.231361,101.577438,58.734661,8761714
2000-03-09,101.816444,103.250481,99.545891,103.250481,59.702099,6625469
2000-03-10,102.891968,104.206497,100.382408,100.621414,58.181870,7419487
2000-03-13,99.426384,104.206497,97.992355,102.951721,59.529316,8233066
2000-03-14,103.011475,105.162521,102.652962,103.847992,60.047585,8340490
2000-03-15,102.772469,103.489487,101.457932,102.294456,59.149281,5926531
2000-03-16,104.206497,104.983269,103.130974,104.206497,60.254864,6927135
2000-03-17,103.489487,106.775810,102.951721,105.162521,60.807644,9264736
2000-03-20,105.162521,108.389099,105.102776,107.791588,62.327858,6865421
2000-03-21,107.851341,109.643883,107.014816,108.508606,62.742458,7083094
2000-03-22,109.464630,110.301147,108.867111,109.225624,63.157017,6420139
2000-03-23,110.779160,110.779160,106.716064,110.181641,63.709846,6791050
2000-03-24,110.301147,116.873802,110.002388,115.320267,66.681129,12683378
2000-03-27,119.502869,122.609940,119.144356,121.295410,70.136116,12408593
2000-03-28,120.219887,121.414917,116.694550,117.112808,67.717659,8524482
2000-03-29,116.933556,117.053062,113.288719,113.766731,65.782822,7648666
2000-03-30,113.647224,117.590820,113.467972,117.351814,67.855835,9579268
2000-03-31,117.232315,118.307838,111.914436,113.169212,65.437317,8383899
2000-04-03,114.722755,116.993309,114.184990,116.634796,67.441261,8070518
2000-04-04,116.156792,121.355164,110.002388,115.858032,66.992119,17433891
2000-04-05,115.200768,120.219887,114.483749,119.502869,69.099617,9093401
2000-04-06,118.068832,122.370934,117.232315,117.351814,67.855835,9296220
2000-04-07,118.068832,120.160133,116.156792,117.710327,68.063156,5627794
2000-04-10,119.263863,119.861374,116.216537,116.754303,67.510323,5760636
2000-04-11,116.276291,116.276291,112.631454,114.125237,65.990135,8094680
2000-04-12,114.364243,114.364243,106.775810,108.747612,62.880650,9293919
2000-04-13,107.552582,109.285370,105.162521,105.760040,61.153156,8615274
2000-04-14,104.983269,107.791588,98.350861,100.382408,58.043678,12323972
2000-04-17,99.306885,107.313576,98.769119,106.955070,61.844166,10428097
2000-04-18,107.313576,110.062141,105.222275,106.596558,61.636894,8582953
